2021-12-15T17:53:35+00:00
Running ./build/Bench/bench_dphp_bvh
Run on (256 X 3303.1 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x128)
  L1 Instruction 32 KiB (x128)
  L2 Unified 512 KiB (x128)
  L3 Unified 16384 KiB (x32)
Load Average: 0.00, 0.00, 0.00
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"primitives","primitives/s"
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.50717e+06,4.28442e+06,ns,,,,,,282759,1.1278e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.52154e+06,4.29265e+06,ns,,,,,,282759,1.12138e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53571e+06,4.31042e+06,ns,,,,,,282759,1.11511e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.53427e+06,4.29141e+06,ns,,,,,,282759,1.11574e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.50304e+06,4.27218e+06,ns,,,,,,282759,1.12966e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.50387e+06,4.27104e+06,ns,,,,,,282759,1.12929e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.48464e+06,4.25962e+06,ns,,,,,,282759,1.13803e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.49373e+06,4.26841e+06,ns,,,,,,282759,1.13388e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.5368e+06,4.30781e+06,ns,,,,,,282759,1.11463e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51104e+06,4.27132e+06,ns,,,,,,282759,1.12606e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time",1,2.51555e+06,4.28152e+06,ns,,,,,,282759,1.12404e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time_mean",100,2.50486e+06,4.26051e+06,ns,,,,,,282759,1.12924e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time_median",100,2.50262e+06,4.25947e+06,ns,,,,,,282759,1.12985e+08
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time_stddev",100,49104.4,40596.4,ns,,,,,,0,2.05435e+06
"BM_CudaBVHBuilderAlgorithmOnly/conference/iterations:1/manual_time_cv",100,196037,95285.3,ns,,,,,,0,0.0181923
